time	V(n004)
0.000000000000000e+000	1.128963e-005
8.325714467056451e-009	1.294040e-005
1.665142893411290e-008	1.432255e-005
2.497714340116935e-008	1.543610e-005
3.330285786822581e-008	1.628103e-005
4.162857233528226e-008	1.685735e-005
4.995428680233871e-008	1.716505e-005
5.828000126939514e-008	1.720415e-005
9.498866615803362e-008	1.603014e-005
1.303021590344984e-007	1.355432e-005
1.734691021528921e-007	1.098888e-005
2.873539324279240e-007	9.525486e-006
3.970315665655767e-007	9.205120e-006
6.163868348408820e-007	8.183923e-006
9.085021225199651e-007	7.447059e-006
1.200798170746581e-006	7.961919e-006
1.524181156824100e-006	1.053987e-005
1.888420560619025e-006	1.681384e-005
2.335892985108395e-006	3.064153e-005
2.883020931667066e-006	5.794609e-005
3.437946354984072e-006	1.007760e-004
4.151107577188789e-006	1.846400e-004
5.113367807436057e-006	3.567347e-004
6.381451380055195e-006	6.938017e-004
7.699920119144737e-006	1.197328e-003
9.122771681644737e-006	1.941035e-003
1.054562324414474e-005	2.880346e-003
1.133863218930446e-005	3.507581e-003
1.223172956083878e-005	4.316605e-003
1.305339501101650e-005	5.151740e-003
1.438968849066991e-005	6.674875e-003
1.581254005316991e-005	8.478449e-003
1.723539161566991e-005	1.046326e-002
1.865824317816991e-005	1.259981e-002
2.008109474066991e-005	1.484872e-002
2.150394630316991e-005	1.716543e-002
2.292679786566991e-005	1.950165e-002
2.434964942816991e-005	2.180712e-002
2.577250099066991e-005	2.403121e-002
2.719535255316991e-005	2.612477e-002
2.861820411566991e-005	2.804171e-002
3.004105567816991e-005	2.974063e-002
3.146390724066991e-005	3.118624e-002
3.288675880316991e-005	3.235057e-002
3.430961036566991e-005	3.323520e-002
3.534782360772081e-005	3.369462e-002
3.612809419027952e-005	3.391723e-002
3.691794298804134e-005	3.402721e-002
3.807307241304609e-005	3.400707e-002
3.949592397554609e-005	3.373668e-002
4.091877553804609e-005	3.320813e-002
4.234162710054609e-005	3.243788e-002
4.376447866304609e-005	3.146365e-002
4.518733022554609e-005	3.032888e-002
4.661018178804609e-005	2.908126e-002
4.803303335054609e-005	2.777112e-002
4.945588491304609e-005	2.644970e-002
5.087873647554609e-005	2.516744e-002
5.230158803804609e-005	2.397227e-002
5.372443960054609e-005	2.290799e-002
5.514729116304609e-005	2.201279e-002
5.657014272554609e-005	2.131795e-002
5.799299428804609e-005	2.084680e-002
5.941584585054609e-005	2.058434e-002
6.015208397843068e-005	2.054758e-002
6.102397008550279e-005	2.061370e-002
6.214869993909089e-005	2.083625e-002
6.357155150159089e-005	2.130925e-002
6.499440306409089e-005	2.197656e-002
6.641725462659089e-005	2.282120e-002
6.784010618909089e-005	2.380682e-002
6.926295775159089e-005	2.489131e-002
7.068580931409089e-005	2.602827e-002
7.210866087659089e-005	2.716859e-002
7.353151243909089e-005	2.826216e-002
7.495436400159089e-005	2.925960e-002
7.637721556409089e-005	3.011398e-002
7.780006712659089e-005	3.078243e-002
7.922291868909089e-005	3.122764e-002
8.064577025159089e-005	3.141914e-002
8.206862181409089e-005	3.133441e-002
8.349147337659089e-005	3.099215e-002
8.428906518771057e-005	3.066840e-002
8.517200929337185e-005	3.017390e-002
8.629263755147625e-005	2.937838e-002
8.771548911397625e-005	2.813537e-002
8.913834067647625e-005	2.665349e-002
9.056119223897625e-005	2.494822e-002
9.198404380147625e-005	2.305721e-002
9.340689536397625e-005	2.102389e-002
9.482974692647625e-005	1.889599e-002
9.625259848897625e-005	1.672400e-002
9.767545005147625e-005	1.455939e-002
9.909830161397625e-005	1.245294e-002
1.005211531764763e-004	1.045300e-002
1.019440047389763e-004	8.603850e-003
1.033668563014763e-004	6.944248e-003
1.047897078639763e-004	5.506099e-003
1.062125594264763e-004	4.313405e-003
1.076354109889763e-004	3.352316e-003
1.084412807819059e-004	2.928753e-003
1.093257155675472e-004	2.587955e-003
1.104457908235666e-004	2.309404e-003
1.118686423860666e-004	2.167411e-003
1.132914939485666e-004	2.241900e-003
1.147143455110666e-004	2.517432e-003
1.161371970735666e-004	2.957741e-003
1.175600486360666e-004	3.520768e-003
1.189829001985666e-004	4.160121e-003
1.204057517610666e-004	4.826682e-003
1.218286033235666e-004	5.470299e-003
1.232514548860665e-004	6.041528e-003
1.246743064485665e-004	6.493337e-003
1.260971580110665e-004	6.782735e-003
1.275200095735665e-004	6.872260e-003
1.289428611360665e-004	6.731276e-003
1.303657126985665e-004	6.337044e-003
1.317885642610665e-004	5.705142e-003
1.325955501379041e-004	5.223204e-003
1.334801858853469e-004	4.568595e-003
1.346001865883977e-004	3.584636e-003
1.360230381508977e-004	2.120496e-003
1.374458897133977e-004	4.383341e-004
1.388687412758977e-004	-1.445415e-003
1.402915928383977e-004	-3.493327e-003
1.417144444008977e-004	-5.662201e-003
1.431372959633977e-004	-7.904519e-003
1.445601475258977e-004	-1.017006e-002
1.459829990883976e-004	-1.240757e-002
1.474058506508976e-004	-1.456656e-002
1.488287022133976e-004	-1.659893e-002
1.502515537758976e-004	-1.846067e-002
1.516744053383976e-004	-2.011329e-002
1.530972569008976e-004	-2.152519e-002
1.545201084633976e-004	-2.267265e-002
1.559429600258975e-004	-2.357173e-002
1.567500963674904e-004	-2.395239e-002
1.576347592072254e-004	-2.423705e-002
1.587547498595278e-004	-2.443384e-002
1.601776014220278e-004	-2.445692e-002
1.616004529845277e-004	-2.424707e-002
1.630233045470277e-004	-2.381911e-002
1.644461561095277e-004	-2.320965e-002
1.658690076720277e-004	-2.246110e-002
1.672918592345277e-004	-2.162020e-002
1.687147107970277e-004	-2.073644e-002
1.701375623595277e-004	-1.986034e-002
1.715604139220276e-004	-1.904171e-002
1.729832654845276e-004	-1.832795e-002
1.744061170470276e-004	-1.776244e-002
1.758289686095276e-004	-1.738302e-002
1.772518201720276e-004	-1.722070e-002
1.786746717345276e-004	-1.729862e-002
1.800975232970276e-004	-1.760291e-002
1.809046799233029e-004	-1.789351e-002
1.817893464154386e-004	-1.833277e-002
1.829093357127661e-004	-1.903722e-002
1.843321872752662e-004	-2.013659e-002
1.857550388377661e-004	-2.144353e-002
1.871778904002661e-004	-2.294140e-002
1.886007419627661e-004	-2.459317e-002
1.900235935252661e-004	-2.635602e-002
1.914464450877661e-004	-2.818283e-002
1.928692966502661e-004	-3.002379e-002
1.942921482127661e-004	-3.182804e-002
1.957149997752660e-004	-3.354547e-002
1.971378513377660e-004	-3.512839e-002
1.985607029002660e-004	-3.653317e-002
1.999835544627660e-004	-3.772174e-002
2.014064060252660e-004	-3.866285e-002
2.028292575877660e-004	-3.933319e-002
2.042521091502660e-004	-3.974981e-002
2.050592685111868e-004	-3.985422e-002
2.059439354957146e-004	-3.983360e-002
2.070639246103735e-004	-3.964097e-002
2.084867761728736e-004	-3.916531e-002
2.099096277353735e-004	-3.845254e-002
2.113324792978735e-004	-3.751761e-002
2.127553308603735e-004	-3.639749e-002
2.141781824228735e-004	-3.513496e-002
2.156010339853735e-004	-3.377714e-002
2.170238855478735e-004	-3.237386e-002
2.184467371103735e-004	-3.097599e-002
2.198695886728735e-004	-2.963371e-002
2.212924402353734e-004	-2.839477e-002
2.227152917978734e-004	-2.730288e-002
2.241381433603734e-004	-2.639623e-002
2.255609949228734e-004	-2.570616e-002
2.269838464853734e-004	-2.525614e-002
2.284066980478734e-004	-2.503256e-002
2.292138577774608e-004	-2.502389e-002
2.300985248283697e-004	-2.513540e-002
2.312185139184024e-004	-2.542546e-002
2.326413654809024e-004	-2.599935e-002
2.340642170434024e-004	-2.678215e-002
2.354870686059024e-004	-2.775754e-002
2.369099201684024e-004	-2.888880e-002
2.383327717309024e-004	-3.013341e-002
2.397556232934024e-004	-3.144452e-002
2.411784748559024e-004	-3.277259e-002
2.426013264184024e-004	-3.406703e-002
2.440241779809023e-004	-3.527801e-002
2.454470295434023e-004	-3.635809e-002
2.468698811059023e-004	-3.726390e-002
2.482927326684023e-004	-3.795759e-002
2.497155842309023e-004	-3.840818e-002
2.511384357934023e-004	-3.859258e-002
2.525612873559023e-004	-3.852752e-002
2.533684471351908e-004	-3.836092e-002
2.542531141950487e-004	-3.804566e-002
2.553731032817615e-004	-3.748313e-002
2.567959548442615e-004	-3.654221e-002
2.582188064067615e-004	-3.536957e-002
2.596416579692615e-004	-3.398060e-002
2.610645095317614e-004	-3.241249e-002
2.624873610942614e-004	-3.070818e-002
2.639102126567614e-004	-2.891498e-002
2.653330642192614e-004	-2.708288e-002
2.667559157817614e-004	-2.526293e-002
2.681787673442614e-004	-2.350544e-002
2.696016189067614e-004	-2.185834e-002
2.710244704692613e-004	-2.036546e-002
2.724473220317613e-004	-1.906513e-002
2.738701735942613e-004	-1.798884e-002
2.752930251567613e-004	-1.716017e-002
2.767158767192613e-004	-1.656478e-002
2.775230365052503e-004	-1.634870e-002
2.784077035663147e-004	-1.623653e-002
2.795276926525799e-004	-1.624805e-002
2.809505442150799e-004	-1.647494e-002
2.823733957775799e-004	-1.691840e-002
2.837962473400799e-004	-1.756265e-002
2.852190989025799e-004	-1.837102e-002
2.866419504650799e-004	-1.930108e-002
2.880648020275799e-004	-2.030606e-002
2.894876535900799e-004	-2.133647e-002
2.909105051525798e-004	-2.234178e-002
2.923333567150798e-004	-2.327221e-002
2.937562082775798e-004	-2.408036e-002
2.951790598400798e-004	-2.472290e-002
2.966019114025798e-004	-2.516202e-002
2.980247629650798e-004	-2.536678e-002
2.994476145275798e-004	-2.531409e-002
3.008704660900797e-004	-2.501974e-002
3.016776258769720e-004	-2.472704e-002
3.025622929381990e-004	-2.427763e-002
3.036822820244039e-004	-2.355042e-002
3.051051335869039e-004	-2.240779e-002
3.065279851494039e-004	-2.104173e-002
3.079508367119038e-004	-1.946812e-002
3.093736882744038e-004	-1.772411e-002
3.107965398369038e-004	-1.585266e-002
3.122193913994038e-004	-1.390102e-002
3.136422429619038e-004	-1.191917e-002
3.150650945244038e-004	-9.958121e-003
3.164879460869038e-004	-8.068158e-003
3.179107976494038e-004	-6.297142e-003
3.193336492119037e-004	-4.688885e-003
3.207565007744037e-004	-3.281655e-003
3.221793523369037e-004	-2.106883e-003
3.236022038994037e-004	-1.188092e-003
3.250250554619037e-004	-5.099989e-004
3.258322152489177e-004	-2.507330e-004
3.267168823101666e-004	-9.502414e-005
3.278368713963634e-004	-5.619632e-005
3.292597229588633e-004	-2.259942e-004
3.306825745213633e-004	-6.199523e-004
3.321054260838633e-004	-1.222628e-003
3.335282776463633e-004	-1.997283e-003
3.349511292088633e-004	-2.901387e-003
3.363739807713633e-004	-3.888082e-003
3.377968323338633e-004	-4.907782e-003
3.392196838963632e-004	-5.909878e-003
3.406425354588632e-004	-6.844466e-003
3.420653870213632e-004	-7.664062e-003
3.434882385838632e-004	-8.325225e-003
3.449110901463632e-004	-8.790048e-003
3.463339417088632e-004	-9.027457e-003
3.477567932713632e-004	-9.014276e-003
3.491796448338631e-004	-8.765463e-003
3.499868046208937e-004	-8.501609e-003
3.508714716821455e-004	-8.086846e-003
3.519914607683412e-004	-7.407279e-003
3.534143123308412e-004	-6.330589e-003
3.548371638933412e-004	-5.036398e-003
3.562600154558412e-004	-3.540800e-003
3.576828670183411e-004	-1.880828e-003
3.591057185808411e-004	-9.929523e-005
3.605285701433411e-004	1.756660e-003
3.619514217058411e-004	3.637183e-003
3.633742732683411e-004	5.491402e-003
3.647971248308411e-004	7.269161e-003
3.662199763933411e-004	8.922729e-003
3.676428279558410e-004	1.040843e-002
3.690656795183410e-004	1.168812e-002
3.704885310808410e-004	1.273052e-002
3.719113826433410e-004	1.351223e-002
3.733342342058410e-004	1.404914e-002
3.741413939928737e-004	1.422629e-002
3.750260610541260e-004	1.428998e-002
3.761460501403215e-004	1.420983e-002
3.775689017028215e-004	1.388535e-002
3.789917532653215e-004	1.333291e-002
3.804146048278214e-004	1.256785e-002
3.818374563903214e-004	1.162706e-002
3.832603079528214e-004	1.055321e-002
3.846831595153214e-004	9.393275e-003
3.861060110778214e-004	8.196994e-003
3.875288626403214e-004	7.015108e-003
3.889517142028214e-004	5.897655e-003
3.903745657653213e-004	4.892257e-003
3.917974173278213e-004	4.042488e-003
3.932202688903213e-004	3.386389e-003
3.946431204528213e-004	2.955169e-003
3.960659720153213e-004	2.772136e-003
3.974888235778213e-004	2.822692e-003
3.982959833648543e-004	2.973093e-003
3.991806504261067e-004	3.262547e-003
4.003006395123021e-004	3.782330e-003
4.017234910748021e-004	4.654447e-003
4.031463426373021e-004	5.742413e-003
4.045691941998021e-004	7.030160e-003
4.059920457623021e-004	8.480779e-003
4.074148973248021e-004	1.005158e-002
4.088377488873021e-004	1.169555e-002
4.102606004498020e-004	1.336296e-002
4.116834520123020e-004	1.500306e-002
4.131063035748020e-004	1.656581e-002
4.145291551373020e-004	1.800359e-002
4.159520066998020e-004	1.927285e-002
4.173748582623020e-004	2.033557e-002
4.187977098248020e-004	2.116056e-002
4.202205613873020e-004	2.172454e-002
4.216434129498019e-004	2.204354e-002
4.224505727368350e-004	2.209701e-002
4.233352397980873e-004	2.202513e-002
4.244552288842828e-004	2.177337e-002
4.258780804467828e-004	2.123100e-002
4.273009320092828e-004	2.046087e-002
4.287237835717828e-004	1.947845e-002
4.301466351342827e-004	1.832072e-002
4.315694866967827e-004	1.703043e-002
4.329923382592827e-004	1.565468e-002
4.344151898217827e-004	1.424329e-002
4.358380413842827e-004	1.284708e-002
4.372608929467827e-004	1.151620e-002
4.386837445092827e-004	1.029835e-002
4.401065960717827e-004	9.237188e-003
4.415294476342826e-004	8.370841e-003
4.429522991967826e-004	7.730600e-003
4.443751507592826e-004	7.339854e-003
4.457980023217826e-004	7.183920e-003
4.466051621088157e-004	7.217833e-003
4.474898291700680e-004	7.380307e-003
4.486098182562635e-004	7.740249e-003
4.500326698187635e-004	8.410682e-003
4.514555213812634e-004	9.298556e-003
4.528783729437634e-004	1.038795e-002
4.543012245062634e-004	1.164202e-002
4.557240760687634e-004	1.301815e-002
4.571469276312634e-004	1.446938e-002
4.585697791937634e-004	1.594603e-002
4.599926307562634e-004	1.739742e-002
4.614154823187633e-004	1.877356e-002
4.628383338812633e-004	2.002689e-002
4.642611854437633e-004	2.111391e-002
4.656840370062633e-004	2.199663e-002
4.671068885687633e-004	2.264393e-002
4.685297401312633e-004	2.303257e-002
4.699525916937633e-004	2.317834e-002
4.707597514807963e-004	2.313464e-002
4.716444185420487e-004	2.295738e-002
4.727644076282442e-004	2.257368e-002
4.741872591907442e-004	2.186581e-002
4.756101107532442e-004	2.093260e-002
4.770329623157441e-004	1.978967e-002
4.784558138782441e-004	1.847402e-002
4.798786654407441e-004	1.702844e-002
4.813015170032441e-004	1.550005e-002
4.827243685657441e-004	1.393870e-002
4.841472201282441e-004	1.239525e-002
4.855700716907441e-004	1.091983e-002
4.869929232532440e-004	9.560189e-003
4.884157748157441e-004	8.359995e-003
4.898386263782441e-004	7.357392e-003
4.912614779407442e-004	6.583681e-003
4.926843295032442e-004	6.062265e-003
4.941071810657442e-004	5.778166e-003
4.949143408527772e-004	5.740648e-003
4.957990079140295e-004	5.826137e-003
4.969189970002251e-004	6.090272e-003
4.983418485627251e-004	6.641402e-003
4.997647001252251e-004	7.412656e-003
5.011875516877252e-004	8.388265e-003
5.026104032502252e-004	9.531390e-003
5.040332548127253e-004	1.079940e-002
5.054561063752253e-004	1.214535e-002
5.068789579377253e-004	1.351955e-002
5.083018095002254e-004	1.487130e-002
5.097246610627254e-004	1.615063e-002
5.111475126252255e-004	1.730995e-002
5.125703641877255e-004	1.830575e-002
5.139932157502255e-004	1.910004e-002
5.154160673127256e-004	1.966168e-002
5.168389188752256e-004	1.996742e-002
5.182617704377257e-004	2.003274e-002
5.190689302247579e-004	1.994464e-002
