time	V(n004)
0.000000000000000e+000	1.128963e-005
1.114285704976023e-008	1.149948e-005
2.228571409952046e-008	1.166447e-005
3.342857114928069e-008	1.178462e-005
4.457142819904092e-008	1.185991e-005
5.571428524880115e-008	1.189036e-005
6.685714229856138e-008	1.187595e-005
7.799999934832158e-008	1.181670e-005
1.559999986966432e-007	1.143468e-005
5.205981147758410e-007	1.103312e-005
8.364399305093396e-007	1.096434e-005
1.468123561976337e-006	1.138182e-005
2.175548085877944e-006	1.302098e-005
2.973308897578831e-006	1.711496e-005
3.832860334062860e-006	2.529678e-005
4.881088195251445e-006	4.217009e-005
6.113051113558317e-006	7.300137e-005
7.283570982004642e-006	1.168763e-004
8.748036326977937e-006	1.976956e-004
1.065233320197794e-005	3.473584e-004
1.255663007697794e-005	5.545327e-004
1.446092695197794e-005	8.313137e-004
1.636522382697794e-005	1.186635e-003
1.826952070197794e-005	1.628943e-003
2.017381757697794e-005	2.166194e-003
2.207811445197794e-005	2.805845e-003
2.398241132697794e-005	3.554850e-003
2.588670820197794e-005	4.419658e-003
2.779100507697794e-005	5.406211e-003
2.969530195197794e-005	6.519937e-003
3.159959882697794e-005	7.765754e-003
3.350389570197794e-005	9.148066e-003
3.540819257697794e-005	1.067077e-002
3.731248945197794e-005	1.233724e-002
3.921678632697794e-005	1.415035e-002
4.112108320197794e-005	1.611248e-002
4.302538007697794e-005	1.822548e-002
4.492967695197794e-005	2.049072e-002
4.683397382697794e-005	2.290906e-002
4.873827070197794e-005	2.548091e-002
5.064256757697794e-005	2.820614e-002
5.254686445197794e-005	3.108419e-002
5.445116132697795e-005	3.411401e-002
5.635545820197795e-005	3.729410e-002
5.825975507697795e-005	4.062251e-002
6.016405195197795e-005	4.409683e-002
6.206834882697794e-005	4.771423e-002
6.397264570197793e-005	5.147145e-002
6.587694257697793e-005	5.536483e-002
6.778123945197792e-005	5.939031e-002
6.968553632697791e-005	6.354341e-002
7.158983320197791e-005	6.781931e-002
7.349413007697790e-005	7.221280e-002
7.730272382697789e-005	8.133000e-002
8.111131757697788e-005	9.084658e-002
8.491991132697786e-005	1.007091e-001
8.872850507697785e-005	1.108596e-001
9.253709882697784e-005	1.212360e-001
9.634569257697782e-005	1.317727e-001
1.020585832019778e-004	1.477270e-001
1.077714738269778e-004	1.636441e-001
1.134843644519778e-004	1.792720e-001
1.191972550769778e-004	1.943532e-001
1.249101457019777e-004	2.086283e-001
1.306230363269778e-004	2.218401e-001
1.363359269519778e-004	2.337365e-001
1.420488175769778e-004	2.440746e-001
1.477617082019778e-004	2.526236e-001
1.534745988269779e-004	2.591679e-001
1.591874894519779e-004	2.635098e-001
1.649003800769779e-004	2.654722e-001
1.687089738269779e-004	2.653815e-001
1.725175675769779e-004	2.641244e-001
1.763261613269779e-004	2.616666e-001
1.782304582019779e-004	2.599780e-001
1.801347550769780e-004	2.579787e-001
1.820390519519780e-004	2.556659e-001
1.839433488269780e-004	2.530371e-001
1.858476457019780e-004	2.500902e-001
1.877519425769780e-004	2.468236e-001
1.915605363269780e-004	2.393258e-001
1.934648332019780e-004	2.350931e-001
1.953691300769780e-004	2.305373e-001
1.972734269519780e-004	2.256586e-001
1.991777238269780e-004	2.204574e-001
2.010820207019780e-004	2.149346e-001
2.048906144519780e-004	2.029294e-001
2.086992082019781e-004	1.896570e-001
2.106035050769781e-004	1.825517e-001
2.125078019519781e-004	1.751376e-001
2.163163957019781e-004	1.593969e-001
2.201249894519781e-004	1.424665e-001
2.220292863269781e-004	1.335666e-001
2.258378800769781e-004	1.149230e-001
2.296464738269781e-004	9.519288e-002
2.334550675769782e-004	7.442659e-002
2.372636613269782e-004	5.267973e-002
2.410722550769782e-004	3.001262e-002
2.429765519519782e-004	1.835409e-002
2.448808488269782e-004	6.490175e-003
2.467851457019782e-004	-5.570328e-003
2.486894425769782e-004	-1.781838e-002
2.524980363269782e-004	-4.283976e-002
2.544023332019782e-004	-5.559381e-002
2.563066300769782e-004	-6.849690e-002
2.601152238269782e-004	-9.470928e-002
2.658281144519782e-004	-1.348850e-001
2.696367082019783e-004	-1.621131e-001
2.715410050769783e-004	-1.758269e-001
2.734453019519783e-004	-1.895918e-001
2.753495988269783e-004	-2.033964e-001
2.791581925769783e-004	-2.310775e-001
2.829667863269783e-004	-2.590174e-001
2.867753800769783e-004	-2.866370e-001
2.905839738269783e-004	-3.139364e-001
2.943925675769784e-004	-3.409156e-001
2.982011613269784e-004	-3.675746e-001
3.020097550769784e-004	-3.939133e-001
3.058183488269784e-004	-4.199318e-001
3.115312394519784e-004	-4.573377e-001
3.172441300769784e-004	-4.929532e-001
3.229570207019785e-004	-5.264735e-001
3.286699113269785e-004	-5.576056e-001
3.324785050769785e-004	-5.768954e-001
3.362870988269785e-004	-5.949210e-001
3.400956925769785e-004	-6.116075e-001
3.419999894519785e-004	-6.194261e-001
3.439042863269785e-004	-6.268836e-001
3.458085832019785e-004	-6.339717e-001
3.477128800769786e-004	-6.406823e-001
3.515214738269786e-004	-6.529405e-001
3.572343644519786e-004	-6.683133e-001
3.615870430234072e-004	-6.776151e-001
3.659397215948358e-004	-6.845363e-001
3.702924001662644e-004	-6.890766e-001
3.746450787376930e-004	-6.912362e-001
3.789977573091215e-004	-6.910150e-001
3.833504358805501e-004	-6.884131e-001
3.877031144519787e-004	-6.834304e-001
3.934160050769787e-004	-6.730115e-001
3.991288957019787e-004	-6.583264e-001
4.029374894519788e-004	-6.461785e-001
4.048417863269788e-004	-6.394025e-001
4.067460832019788e-004	-6.321615e-001
4.105546769519788e-004	-6.162964e-001
4.162675675769788e-004	-5.890937e-001
4.219804582019788e-004	-5.579083e-001
4.257890519519788e-004	-5.349739e-001
4.276933488269788e-004	-5.228813e-001
4.334062394519789e-004	-4.841807e-001
4.353105363269789e-004	-4.704968e-001
4.374868756126931e-004	-4.543612e-001
4.396632148984075e-004	-4.377753e-001
4.418395541841217e-004	-4.207392e-001
4.440158934698361e-004	-4.032528e-001
4.461922327555503e-004	-3.853161e-001
4.483685720412647e-004	-3.669291e-001
4.505449113269789e-004	-3.480919e-001
4.529932930234075e-004	-3.264021e-001
4.554416747198361e-004	-3.042845e-001
4.578900564162647e-004	-2.817391e-001
4.603384381126933e-004	-2.587659e-001
4.627868198091218e-004	-2.353649e-001
4.652352015055504e-004	-2.115360e-001
4.676835832019790e-004	-1.872794e-001
4.714921769519790e-004	-1.489675e-001
4.772050675769790e-004	-9.015734e-002
4.829179582019791e-004	-3.003629e-002
4.848222550769791e-004	-9.764303e-003
4.867265519519791e-004	1.060183e-002
4.924394425769791e-004	7.213324e-002
4.957039515055506e-004	1.076534e-001
4.989684604341220e-004	1.430567e-001
5.022329693626934e-004	1.783432e-001
5.054974782912648e-004	2.135128e-001
5.087619872198363e-004	2.485657e-001
5.120264961484078e-004	2.835018e-001
5.152910050769792e-004	3.183210e-001
5.166512171305507e-004	3.326695e-001
5.180114291841220e-004	3.469398e-001
5.193716412376935e-004	3.611316e-001
5.207318532912649e-004	3.752452e-001
5.220920653448364e-004	3.892804e-001
5.234522773984077e-004	4.032373e-001
5.248124894519792e-004	4.171158e-001
5.275329135591221e-004	4.446494e-001
5.302533376662649e-004	4.716752e-001
5.329737617734078e-004	4.981931e-001
5.356941858805507e-004	5.242031e-001
5.384146099876936e-004	5.497054e-001
5.411350340948364e-004	5.746998e-001
5.438554582019793e-004	5.991863e-001
5.454877126662650e-004	6.135422e-001
5.471199671305508e-004	6.276470e-001
5.487522215948365e-004	6.415008e-001
5.503844760591221e-004	6.551035e-001
5.520167305234078e-004	6.684553e-001
5.536489849876936e-004	6.815559e-001
5.552812394519793e-004	6.944056e-001
5.599059604341222e-004	7.295490e-001
5.645306814162650e-004	7.620466e-001
5.691554023984079e-004	7.918984e-001
5.737801233805509e-004	8.191045e-001
5.784048443626937e-004	8.436648e-001
5.830295653448366e-004	8.655794e-001
5.876542863269794e-004	8.848481e-001
5.903747104341223e-004	8.946587e-001
5.930951345412652e-004	9.033895e-001
5.958155586484080e-004	9.110403e-001
5.985359827555510e-004	9.176113e-001
6.012564068626938e-004	9.231023e-001
6.039768309698367e-004	9.275135e-001
6.066972550769795e-004	9.308447e-001
6.086015519519795e-004	9.324984e-001
6.107778912376938e-004	9.337212e-001
6.129542305234081e-004	9.342266e-001
6.151305698091224e-004	9.340144e-001
6.173069090948367e-004	9.330848e-001
6.194832483805510e-004	9.314377e-001
6.216595876662653e-004	9.290730e-001
6.238359269519796e-004	9.259909e-001
6.268283934698368e-004	9.205571e-001
6.298208599876939e-004	9.138007e-001
6.328133265055511e-004	9.057217e-001
6.358057930234082e-004	8.963200e-001
6.387982595412653e-004	8.855957e-001
6.417907260591225e-004	8.735488e-001
6.447831925769797e-004	8.601793e-001
6.504960832019797e-004	8.312035e-001
6.532165073091225e-004	8.157665e-001
6.559369314162654e-004	7.993807e-001
6.586573555234082e-004	7.820459e-001
6.613777796305512e-004	7.637622e-001
6.640982037376940e-004	7.445296e-001
6.668186278448369e-004	7.243482e-001
6.695390519519798e-004	7.032178e-001
6.711713064162654e-004	6.901395e-001
6.728035608805512e-004	6.767692e-001
6.744358153448369e-004	6.631069e-001
6.760680698091226e-004	6.491525e-001
6.777003242734083e-004	6.349061e-001
6.793325787376941e-004	6.203676e-001
6.809648332019798e-004	6.055371e-001
6.866777238269798e-004	5.515981e-001
6.923906144519798e-004	4.946361e-001
6.953830809698370e-004	4.635738e-001
6.983755474876942e-004	4.319298e-001
7.013680140055513e-004	3.997043e-001
7.043604805234084e-004	3.668972e-001
7.073529470412656e-004	3.335084e-001
7.103454135591227e-004	2.995381e-001
7.133378800769799e-004	2.649862e-001
7.146980921305514e-004	2.491862e-001
7.160583041841228e-004	2.333189e-001
7.174185162376942e-004	2.173845e-001
7.187787282912656e-004	2.013828e-001
7.201389403448371e-004	1.853139e-001
7.214991523984085e-004	1.691777e-001
7.228593644519800e-004	1.529744e-001
7.285722550769800e-004	8.448410e-002
7.307485943626943e-004	5.818621e-002
7.329249336484085e-004	3.188641e-002
7.351012729341228e-004	5.584692e-003
7.372776122198372e-004	-2.071893e-002
7.394539515055515e-004	-4.702447e-002
7.416302907912657e-004	-7.333192e-002
7.438066300769800e-004	-9.964129e-002
7.470711390055515e-004	-1.390595e-001
7.503356479341229e-004	-1.780789e-001
7.536001568626944e-004	-2.166996e-001
7.568646657912658e-004	-2.549215e-001
7.601291747198372e-004	-2.927446e-001
7.633936836484087e-004	-3.301689e-001
7.666581925769801e-004	-3.671945e-001
7.704667863269801e-004	-4.093909e-001
7.761796769519802e-004	-4.708509e-001
7.791721434698373e-004	-5.021770e-001
7.821646099876945e-004	-5.326617e-001
7.851570765055517e-004	-5.623050e-001
7.881495430234087e-004	-5.911068e-001
7.911420095412659e-004	-6.190673e-001
7.941344760591231e-004	-6.461863e-001
7.971269425769802e-004	-6.724640e-001
8.009355363269802e-004	-7.043442e-001
8.039280028448374e-004	-7.283018e-001
8.069204693626946e-004	-7.511121e-001
8.099129358805518e-004	-7.727753e-001
8.129054023984088e-004	-7.932912e-001
8.158978689162660e-004	-8.126599e-001
8.188903354341232e-004	-8.308814e-001
8.218828019519803e-004	-8.479556e-001
8.262354805234089e-004	-8.705741e-001
8.305881590948375e-004	-8.903609e-001
8.349408376662661e-004	-9.073162e-001
8.392935162376947e-004	-9.214400e-001
8.436461948091232e-004	-9.327321e-001
8.479988733805519e-004	-9.411928e-001
8.523515519519804e-004	-9.468218e-001
8.618730363269805e-004	-9.486617e-001
8.643214180234090e-004	-9.468461e-001
8.667697997198376e-004	-9.441113e-001
8.692181814162662e-004	-9.404573e-001
8.716665631126948e-004	-9.358840e-001
8.741149448091234e-004	-9.303915e-001
8.765633265055520e-004	-9.239799e-001
8.790117082019805e-004	-9.166490e-001
8.809160050769805e-004	-9.103243e-001
8.828203019519805e-004	-9.034718e-001
8.847245988269806e-004	-8.960916e-001
8.866288957019806e-004	-8.881837e-001
8.885331925769806e-004	-8.797480e-001
8.904374894519806e-004	-8.707846e-001
8.923417863269806e-004	-8.612934e-001
8.980546769519806e-004	-8.298280e-001
9.007751010591235e-004	-8.132250e-001
9.034955251662663e-004	-7.957013e-001
9.062159492734092e-004	-7.772569e-001
9.089363733805521e-004	-7.578917e-001
9.116567974876950e-004	-7.376059e-001
9.143772215948378e-004	-7.163993e-001
9.170976457019807e-004	-6.942720e-001
9.228105363269807e-004	-6.452651e-001
9.247148332019807e-004	-6.281617e-001
9.304277238269807e-004	-5.746942e-001
9.361406144519807e-004	-5.182205e-001
9.388610385591236e-004	-4.902702e-001
9.415814626662665e-004	-4.618326e-001
9.443018867734093e-004	-4.329078e-001
9.470223108805523e-004	-4.034958e-001
9.497427349876951e-004	-3.735965e-001
9.524631590948380e-004	-3.432100e-001
9.551835832019808e-004	-3.123363e-001
9.608964738269808e-004	-2.465795e-001
9.625287282912665e-004	-2.275317e-001
9.641609827555523e-004	-2.084146e-001
9.657932372198380e-004	-1.892282e-001
9.674254916841237e-004	-1.699725e-001
9.690577461484094e-004	-1.506476e-001
9.706900006126952e-004	-1.312534e-001
9.723222550769809e-004	-1.117900e-001
9.818437394519806e-004	2.122805e-003
9.842921211484091e-004	3.149292e-002
9.867405028448374e-004	6.073510e-002
9.891888845412660e-004	8.984933e-002
9.916372662376943e-004	1.188356e-001
9.940856479341228e-004	1.476940e-001
9.965340296305511e-004	1.764244e-001
9.989824113269797e-004	2.050269e-001
1.000614665791265e-003	2.239423e-001
1.002246920255551e-003	2.427272e-001
1.003879174719837e-003	2.613814e-001
1.005511429184122e-003	2.799050e-001
1.007143683648408e-003	2.982980e-001
1.008775938112693e-003	3.165604e-001
1.010408192576979e-003	3.346921e-001
1.012856574273408e-003	3.616225e-001
1.015304955969836e-003	3.881037e-001
1.017753337666265e-003	4.141357e-001
1.020201719362693e-003	4.397186e-001
1.022650101059121e-003	4.648522e-001
1.025098482755550e-003	4.895366e-001
1.027546864451978e-003	5.137718e-001
1.029451161326978e-003	5.322293e-001
1.031355458201978e-003	5.503250e-001
1.033259755076978e-003	5.680589e-001
1.035164051951978e-003	5.854310e-001
1.037068348826978e-003	6.024413e-001
1.038972645701978e-003	6.190898e-001
1.040876942576977e-003	6.353765e-001
1.043325324273406e-003	6.557443e-001
1.045773705969834e-003	6.753891e-001
1.048222087666263e-003	6.943109e-001
1.050670469362691e-003	7.125098e-001
1.053118851059120e-003	7.299857e-001
1.055567232755548e-003	7.467386e-001
1.058015614451977e-003	7.627686e-001
1.062640335434119e-003	7.909951e-001
1.067265056416262e-003	8.161469e-001
1.071889777398405e-003	8.382240e-001
1.076514498380547e-003	8.572264e-001
1.081139219362690e-003	8.731540e-001
1.085763940344832e-003	8.860069e-001
1.090388661326975e-003	8.957850e-001
1.092292958201975e-003	8.988081e-001
1.094197255076975e-003	9.012764e-001
1.096101551951975e-003	9.031899e-001
1.098005848826974e-003	9.045487e-001
1.099910145701974e-003	9.053528e-001
1.101814442576974e-003	9.056021e-001
1.103718739451974e-003	9.052967e-001
1.109431630076974e-003	9.010487e-001
1.112696139005545e-003	8.963469e-001
1.115960647934116e-003	8.900714e-001
1.119225156862688e-003	8.822222e-001
1.122489665791259e-003	8.727991e-001
1.125754174719830e-003	8.618024e-001
1.129018683648401e-003	8.492318e-001
1.132283192576973e-003	8.350875e-001
1.137996083201972e-003	8.068342e-001
1.140716507309115e-003	7.917592e-001
1.143436931416258e-003	7.757548e-001
1.146157355523401e-003	7.588210e-001
1.148877779630543e-003	7.409578e-001
1.151598203737686e-003	7.221652e-001
1.154318627844829e-003	7.024432e-001
1.157039051951971e-003	6.817918e-001
1.162751942576971e-003	6.358318e-001
1.164384197041257e-003	6.220360e-001
1.166016451505542e-003	6.079800e-001
1.167648705969828e-003	5.936639e-001
1.169280960434114e-003	5.790875e-001
1.170913214898399e-003	5.642509e-001
1.172545469362685e-003	5.491541e-001
1.174177723826970e-003	5.337970e-001
1.176082020701970e-003	5.155724e-001
1.177986317576970e-003	4.970665e-001
1.179890614451970e-003	4.782792e-001
1.181794911326970e-003	4.592105e-001
1.183699208201970e-003	4.398605e-001
1.185603505076970e-003	4.202291e-001
1.187507801951970e-003	4.003163e-001
1.189140056416255e-003	3.830628e-001
1.190772310880541e-003	3.656612e-001
1.192404565344827e-003	3.481116e-001
1.194036819809112e-003	3.304139e-001
1.195669074273398e-003	3.125682e-001
1.197301328737683e-003	2.945744e-001
1.198933583201969e-003	2.764326e-001
1.204646473826969e-003	2.121188e-001
1.206278728291254e-003	1.935028e-001
1.207910982755540e-003	1.748259e-001
1.209543237219826e-003	1.560880e-001
1.211175491684111e-003	1.372893e-001
1.212807746148397e-003	1.184296e-001
1.214440000612682e-003	9.950902e-002
1.216072255076968e-003	8.052751e-002
1.218248594362682e-003	5.514953e-002
1.220424933648397e-003	2.978762e-002
1.222601272934111e-003	4.441799e-003
1.224777612219825e-003	-2.088795e-002
1.226953951505539e-003	-4.620161e-002
1.229130290791253e-003	-7.149920e-002
1.231306630076967e-003	-9.678070e-002
1.233482969362681e-003	-1.219739e-001
1.235659308648396e-003	-1.470100e-001
1.237835647934110e-003	-1.718888e-001
1.240011987219824e-003	-1.966105e-001
1.242188326505538e-003	-2.211750e-001
1.244364665791252e-003	-2.455823e-001
1.246541005076967e-003	-2.698325e-001
1.247901217130538e-003	-2.848560e-001
1.249261429184109e-003	-2.997749e-001
1.250621641237681e-003	-3.145894e-001
1.251981853291252e-003	-3.292993e-001
1.253342065344823e-003	-3.439047e-001
1.254702277398395e-003	-3.584056e-001
1.256062489451966e-003	-3.728020e-001
1.258782913559109e-003	-4.012904e-001
1.261503337666252e-003	-4.291764e-001
1.264223761773394e-003	-4.564602e-001
1.266944185880537e-003	-4.831416e-001
1.269664609987680e-003	-5.092208e-001
1.272385034094822e-003	-5.346976e-001
1.275105458201965e-003	-5.595721e-001
1.276737712666251e-003	-5.741214e-001
1.278369967130536e-003	-5.883911e-001
1.280002221594822e-003	-6.023811e-001
